Mean RT,Mean CV,Sample 1 Intensity,Sample 2 Intensity,Sample 3 Intensity,Sample 4 Intensity,Sample 5 Intensity,Sample 6 Intensity,Sample 7 Intensity,Sample 8 Intensity,Sample 9 Intensity,Sample 10 Intensity,Sample 11 Intensity,Sample 12 Intensity,Sample 13 Intensity,Sample 14 Intensity,Sample 15 Intensity,Sample 16 Intensity,Sample 17 Intensity,Sample 18 Intensity,Sample 19 Intensity,Sample 20 Intensity,Sample 21 Intensity,Sample 22 Intensity,Sample 23 Intensity,Sample 24 Intensity
38.60196,-23.42,0.75912,0.72597,1.1744,0.65,0.23256,0.46698,0.86334,0.68439,0.64957,0.73409,0.52516,0.64737,0.51406,0.067247,0.58456,0.58727,0.93067,0.94171,0.67087,0.024297,0.65537,1.6095,0,0.013048
15.27406,-22.71278,0.062444,0.044123,0.12209,0,0,0.1039,0.026641,0,0.043163,0.024012,0.14039,0.092726,0.047049,0.1055,0.076322,0,0.12919,0.090997,0.021962,0,0.13249,0.11164,0,0.031116
44.46629,-21.78417,1.4219,2.4477,2.0665,0.088072,0.39229,0.19394,1.9698,0.85815,2.035,1.5281,1.5841,1.6391,2.1679,0.423,0.82647,0.48094,0.95437,1.6045,0.79293,0.64569,1.6035,0.078174,0.52786,1.1162
31.37748,-21.5313,1.2483,1.1557,1.9371,0.28268,0,0.89454,1.5921,1.2626,1.6887,1.5218,1.5209,1.3913,0.66328,1.3626,0.075906,1.3655,1.7242,1.1655,1.2191,0.15169,0.87955,2.4791,0.26071,0.86778
314.4324,-21.23667,0.31791,0.23852,0.99849,0.8975,0.17778,0.65205,0.21271,0.6529,0.75678,1.0268,0.16215,0.30541,0.53243,0.85949,0.15852,0.32851,0.76425,0.72152,0.38361,0.55538,0.31715,0.70394,0.26496,0.70936
333.8406,-21.23667,0.30465,0.14387,0.55146,0.34052,0.32253,0.33325,0.17384,0.28091,0.36645,0.39589,0.25671,0.069405,0.30996,0.044616,0.058787,0.12276,0.24903,0.24023,0.065858,0.50744,0.13892,0.2361,0.70488,0.32461
509.1739,-21.10045,0.80039,0.44782,0.39745,0.79204,0,0.094615,0,0.13389,0.36505,0.86085,0.41789,0.015571,0.17837,0.91435,0.46926,0.57075,0.67076,0.79387,0.52638,0.75917,0.77019,0.58475,0.71567,0.4306
537.735,-21.10375,0.32302,1.046,0.35877,0.14266,0.25705,0.15604,0.33594,0.62417,0.48321,0.15028,0.18028,0.31126,0.75503,0.17601,0.37692,0.060841,0.40435,0.26058,0.30568,0.17296,0.42448,0.92889,0.11714,0.22608
547.5752,-21.11478,0.10869,0.04436,0.36404,0.072298,0,0.016375,0.33594,0.015983,0.040014,0.01706,0.34664,0.089319,0.012634,0.040019,0.051828,0.060841,0.058758,0.077007,0.062063,0.025246,0.095555,0.04543,0.23293,0.22608
587.1633,-21.17625,0.85156,0.58575,1.0701,0.62445,0.14712,0.4157,0.1392,0.32599,0.80032,1.0904,0.6015,0.18843,0.78001,1.064,0.4546,0.90312,0.86388,0.55259,0.2326,0.22499,0.83381,0.79477,0.5042,0.58728
275.818,-21.22458,0.41305,0.28377,0.70485,0.43542,0.39745,0.54613,0.48036,0.42511,0.58112,0.45939,0.25269,0.35509,0.52516,0.46252,0.38691,0.46644,0.46252,0.40413,0.28558,0.23433,0.43364,0.15633,0.41034,0.44042
310.2815,-21.24875,0.098326,0.042037,0.99849,0.8975,0.15177,0.13603,0.47311,0.6529,0.75678,1.0268,0.28073,0.27331,0.078707,0.85949,0.27627,0.32851,0.76425,0.72152,0.38361,0.55538,0.20759,0.70394,0.26496,0.70936
556.056,-21.11583,0.27721,0.26338,0.36404,0.27085,0.38423,0.18465,0.34629,0.16041,0.35882,0.21112,0.34664,0.089319,0.44334,0.21317,0.21057,0.23451,0.23866,0.24662,0.23477,0.23704,0.24188,0.21533,0.23293,0.20782
604.4177,-21.07556,0.70155,0.20333,0.36566,0.25408,0,0,0,0.028596,0,0.32914,0.25129,0,0.066351,0.35218,0.23207,0.30956,0.28888,0.58416,0.1779,0.0045252,0.28472,0.25865,0,0.01377
563.5622,-21.12792,0.097228,0.19877,0.19817,0.14218,0.38423,0.1575,0.34629,0.13196,0.35882,0.051961,0.13779,0.18851,0.44334,0.10974,0.17462,0.048306,0.11398,0.078641,0.15044,0.16278,0.16703,0.22248,0.10668,0.17763
684.3548,-21.12389,0.10045,0.44478,0.0090426,0.0092614,0,0.14612,0,0.12804,0.2292,0.10783,0,0.0057448,0.063011,0.28545,0.19081,0.045507,0.26524,0.123,0.34716,0,0.2714,0.31337,0,0
779.3173,-21.14,0.057823,0.0083331,0.11398,0.056568,0,0,0.015248,0.041661,0.0089347,0.050627,0.077145,0.02059,0.031116,0.022764,0.042927,0.037824,0.081683,0.059832,0.032298,0.076202,0.010114,0.14684,0.0068059,0.1489
703.1526,-21.169,0.0065438,0.012981,0.15971,0.0041653,0.29082,0.1973,0.28157,0.20898,0.075233,0.31566,0.022814,0.23501,0.23756,0.33531,0.085792,0.040848,0.0092056,0,0.047872,0,0.042526,0.01013,0,0
869.7472,-21.10947,0.0049118,0.0047123,0.02847,0.029213,0.0066195,0,0.056435,0.057461,0,0.017685,0.005149,0.028232,0,0.018487,0.015087,0.015559,0.039202,0.020134,0.0054872,0,0.0059013,0.070696,0,0.060513
66.58273,-15.61933,0.022898,0.0098727,0,0,0,0.018583,0,0.026031,0.0089549,0.01639,0.045433,0.023261,0.011839,0,0.013079,0.039258,0,0,0.0072628,0.11454,0.014756,0,0.10805,0
341.711,-11.30909,0.047226,0.051527,0.026662,0.026704,0,0.0053761,0.0082791,0.0055649,0,0.014942,0.029763,0.0085753,0.010731,0.012061,0.031417,0.008828,0.010064,0.040771,0.025594,0.064458,0.0067314,0.027751,0.047296,0.070761
282.5173,-6.986087,0.12912,0.044307,0.15358,0.18256,0.036842,0.057045,0.010338,0.10411,0.082294,0.057194,0.060719,0.051757,0.079297,0.091663,0.096049,0.13546,0.065573,0.079957,0.062186,0.14886,0.1069,0,0.034795,0.075138
531.3539,-7.108571,0.072197,0.031904,0.029607,0.10031,0,0.024306,0,0.023246,0.041384,0.068355,0.12101,0,0.028463,0.051548,0.044366,0.039793,0.048918,0.076998,0.1026,0.083925,0.075915,0.081828,0.07424,0.051068
571.4364,-5.351667,0.081968,0.041501,0.082318,0.044823,0.0092834,0.029364,0.026378,0.038177,0.072762,0.031997,0.081374,0.032994,0.034567,0.026693,0.029385,0.024293,0.04026,0.058769,0.044394,0.061305,0.087164,0.085124,0.066123,0.073204
560.0313,-3.492917,0.17034,0.15275,0.16406,0.14513,0.091523,0.11523,0.040062,0.099154,0.15157,0.072431,0.17745,0.066994,0.1228,0.14041,0.1273,0.14251,0.1623,0.17408,0.10125,0.12364,0.14366,0.23238,0.16148,0.18704
671.971,-3.5775,0.2932,0.72797,0.11279,0.10815,0.80846,0.91588,1.0083,0.87759,0.75757,0.10163,0.11511,0.84428,0.57318,0.40669,0.56286,0.53042,0.5335,0.31912,0.66334,0.048716,0.45967,0.66314,0.024596,0.043248
538.8651,-3.100526,0.012535,0.072461,0,0.0090487,0.095018,0.08671,0.060827,0.072521,0.051844,0,0,0.063075,0.13687,0.045855,0.047186,0.29976,0.1965,0.15075,0.0049328,0.024065,0.17167,0.063373,0,0
545.1227,-2.843043,0.14867,0.1816,0.0069319,0.0090487,0.0078878,0.18972,0.020372,0.1777,0.22157,0.032903,0,0.019351,0.082194,0.044972,0.18015,0.29976,0.1965,0.15075,0.092075,0.024065,0.17167,0.063373,0.1973,0.084967
